n k length
3 2 2
3 3 1
30 0 1
30 1 5
30 10 25
30 11 26
30 12 27
30 13 27
30 14 28
30 15 28
30 16 28
30 17 27
30 18 27
30 19 26
30 2 9
30 20 25
30 21 24
30 22 23
30 23 21
30 24 20
30 25 18
30 26 15
30 27 12
30 28 9
30 29 5
30 3 12
30 30 1
30 4 15
30 5 18
30 6 20
30 7 21
30 8 23
30 9 24
31 0 1
31 1 5
31 10 26
31 11 27
31 12 28
31 13 28
31 14 28
31 15 29
31 16 29
31 17 28
31 18 28
31 19 28
31 2 9
31 20 27
31 21 26
31 22 25
31 23 23
31 24 22
31 25 20
31 26 18
31 27 15
31 28 13
31 29 9
31 3 13
31 30 5
31 31 1
31 4 15
31 5 18
31 6 20
31 7 22
31 8 23
31 9 25
32 0 1
32 1 6
32 10 26
32 11 27
32 12 28
32 13 29
32 14 29
32 15 30
32 16 30
32 17 30
32 18 29
32 19 29
32 2 9
32 20 28
32 21 27
32 22 26
32 23 25
32 24 24
32 25 22
32 26 20
32 27 18
32 28 16
32 29 13
32 3 13
32 30 9
32 31 6
32 32 1
32 4 16
32 5 18
32 6 20
32 7 22
32 8 24
32 9 25
33 0 1
33 1 6
33 10 27
33 11 28
33 12 29
33 13 30
33 14 30
33 15 30
33 16 31
33 17 31
33 18 30
33 19 30
33 2 10
33 20 30
33 21 29
33 22 28
33 23 27
33 24 26
33 25 24
33 26 23
33 27 21
33 28 18
33 29 16
33 3 13
33 30 13
33 31 10
33 32 6
33 33 1
33 4 16
33 5 18
33 6 21
33 7 23
33 8 24
33 9 26
34 0 1
34 1 6
34 10 27
34 11 29
34 12 30
34 13 30
34 14 31
34 15 31
34 16 32
34 17 32
34 18 32
34 19 31
34 2 10
34 20 31
34 21 30
34 22 30
34 23 29
34 24 27
34 25 26
34 26 25
34 27 23
34 28 21
34 29 19
34 3 13
34 30 16
34 31 13
34 32 10
34 33 6
34 34 1
34 4 16
34 5 19
34 6 21
34 7 23
34 8 25
34 9 26
35 0 1
35 1 6
35 10 28
35 11 29
35 12 30
35 13 31
35 14 32
35 15 32
35 16 32
35 17 33
35 18 33
35 19 32
35 2 10
35 20 32
35 21 32
35 22 31
35 23 30
35 24 29
35 25 28
35 26 27
35 27 25
35 28 23
35 29 21
35 3 13
35 30 19
35 31 16
35 32 13
35 33 10
35 34 6
35 35 1
35 4 16
35 5 19
35 6 21
35 7 23
35 8 25
35 9 27
36 0 1
36 1 6
36 10 28
36 11 30
36 12 31
36 13 32
36 14 32
36 15 33
36 16 33
36 17 34
36 18 34
36 19 34
36 2 10
36 20 33
36 21 33
36 22 32
36 23 32
36 24 31
36 25 30
36 26 28
36 27 27
36 28 25
36 29 23
36 3 13
36 30 21
36 31 19
36 32 16
36 33 13
36 34 10
36 35 6
36 36 1
36 4 16
36 5 19
36 6 21
36 7 23
36 8 25
36 9 27
37 0 1
37 1 6
37 10 29
37 11 30
37 12 31
37 13 32
37 14 33
37 15 34
37 16 34
37 17 34
37 18 35
37 19 35
37 2 10
37 20 34
37 21 34
37 22 34
37 23 33
37 24 32
37 25 31
37 26 30
37 27 29
37 28 27
37 29 26
37 3 13
37 30 24
37 31 22
37 32 19
37 33 17
37 34 13
37 35 10
37 36 6
37 37 1
37 4 17
37 5 19
37 6 22
37 7 24
37 8 26
37 9 27
38 0 1
38 1 6
38 10 29
38 11 31
38 12 32
38 13 33
38 14 34
38 15 34
38 16 35
38 17 35
38 18 35
38 19 36
38 2 10
38 20 35
38 21 35
38 22 35
38 23 34
38 24 34
38 25 33
38 26 32
38 27 31
38 28 29
38 29 28
38 3 14
38 30 26
38 31 24
38 32 22
38 33 19
38 34 17
38 35 14
38 36 10
38 37 6
38 38 1
38 4 17
38 5 19
38 6 22
38 7 24
38 8 26
38 9 28
39 0 1
39 1 6
39 10 30
39 11 31
39 12 32
39 13 33
39 14 34
39 15 35
39 16 36
39 17 36
39 18 36
39 19 37
39 2 10
39 20 37
39 21 36
39 22 36
39 23 36
39 24 35
39 25 34
39 26 33
39 27 32
39 28 31
39 29 30
39 3 14
39 30 28
39 31 26
39 32 24
39 33 22
39 34 20
39 35 17
39 36 14
39 37 10
39 38 6
39 39 1
39 4 17
39 5 20
39 6 22
39 7 24
39 8 26
39 9 28
4 0 1
4 1 3
4 2 3
4 3 3
4 4 1
40 0 1
40 1 6
40 10 30
40 11 32
40 12 33
40 13 34
40 14 35
40 15 36
40 16 36
40 17 37
40 18 37
40 19 37
40 2 10
40 20 38
40 21 37
40 22 37
40 23 37
40 24 36
40 25 36
40 26 35
40 27 34
40 28 33
40 29 32
40 3 14
40 30 30
40 31 29
40 32 27
40 33 25
40 34 22
40 35 20
40 36 17
40 37 14
40 38 10
40 39 6
40 4 17
40 40 1
40 5 20
40 6 22
40 7 25
40 8 27
40 9 29
41 0 1
41 1 6
41 10 31
41 11 32
41 12 33
41 13 35
41 14 36
41 15 36
41 16 37
41 17 38
41 18 38
41 19 38
41 2 10
41 20 38
41 21 38
41 22 38
41 23 38
41 24 38
41 25 37
41 26 36
41 27 36
41 28 35
41 29 33
41 3 14
41 30 32
41 31 31
41 32 29
41 33 27
41 34 25
41 35 23
41 36 20
41 37 17
41 38 14
41 39 10
41 4 17
41 40 6
41 41 1
41 5 20
41 6 23
41 7 25
41 8 27
41 9 29
42 0 1
42 1 6
42 10 31
42 11 32
42 12 34
42 13 35
42 14 36
42 15 37
42 16 38
42 17 38
42 18 39
42 19 39
42 2 10
42 20 39
42 21 39
42 22 39
42 23 39
42 24 39
42 25 38
42 26 38
42 27 37
42 28 36
42 29 35
42 3 14
42 30 34
42 31 32
42 32 31
42 33 29
42 34 27
42 35 25
42 36 23
42 37 20
42 38 17
42 39 14
42 4 17
42 40 10
42 41 6
42 42 1
42 5 20
42 6 23
42 7 25
42 8 27
42 9 29
43 0 1
43 1 6
43 10 31
43 11 33
43 12 34
43 13 36
43 14 37
43 15 38
43 16 38
43 17 39
43 18 40
43 19 40
43 2 10
43 20 40
43 21 40
43 22 40
43 23 40
43 24 40
43 25 40
43 26 39
43 27 38
43 28 38
43 29 37
43 3 14
43 30 36
43 31 34
43 32 33
43 33 31
43 34 30
43 35 28
43 36 25
43 37 23
43 38 20
43 39 17
43 4 17
43 40 14
43 41 10
43 42 6
43 43 1
43 5 20
43 6 23
43 7 25
43 8 28
43 9 30
44 0 1
44 1 6
44 10 32
44 11 33
44 12 35
44 13 36
44 14 37
44 15 38
44 16 39
44 17 40
44 18 40
44 19 41
44 2 10
44 20 41
44 21 41
44 22 41
44 23 41
44 24 41
44 25 41
44 26 40
44 27 40
44 28 39
44 29 38
44 3 14
44 30 37
44 31 36
44 32 35
44 33 33
44 34 32
44 35 30
44 36 28
44 37 26
44 38 23
44 39 21
44 4 18
44 40 18
44 41 14
44 42 10
44 43 6
44 44 1
44 5 21
44 6 23
44 7 26
44 8 28
44 9 30
45 0 1
45 1 6
45 10 32
45 11 34
45 12 35
45 13 37
45 14 38
45 15 39
45 16 40
45 17 41
45 18 41
45 19 42
45 2 10
45 20 42
45 21 42
45 22 42
45 23 42
45 24 42
45 25 42
45 26 42
45 27 41
45 28 41
45 29 40
45 3 14
45 30 39
45 31 38
45 32 37
45 33 35
45 34 34
45 35 32
45 36 30
45 37 28
45 38 26
45 39 23
45 4 18
45 40 21
45 41 18
45 42 14
45 43 10
45 44 6
45 45 1
45 5 21
45 6 23
45 7 26
45 8 28
45 9 30
46 0 1
46 1 6
46 10 32
46 11 34
46 12 36
46 13 37
46 14 38
46 15 39
46 16 40
46 17 41
46 18 42
46 19 42
46 2 11
46 20 43
46 21 43
46 22 43
46 23 43
46 24 43
46 25 43
46 26 43
46 27 42
46 28 42
46 29 41
46 3 14
46 30 40
46 31 39
46 32 38
46 33 37
46 34 36
46 35 34
46 36 32
46 37 31
46 38 28
46 39 26
46 4 18
46 40 24
46 41 21
46 42 18
46 43 14
46 44 11
46 45 6
46 46 1
46 5 21
46 6 24
46 7 26
46 8 28
46 9 31
47 0 1
47 1 6
47 10 33
47 11 35
47 12 36
47 13 38
47 14 39
47 15 40
47 16 41
47 17 42
47 18 43
47 19 43
47 2 11
47 20 44
47 21 44
47 22 44
47 23 44
47 24 44
47 25 44
47 26 44
47 27 44
47 28 43
47 29 43
47 3 14
47 30 42
47 31 41
47 32 40
47 33 39
47 34 38
47 35 36
47 36 35
47 37 33
47 38 31
47 39 29
47 4 18
47 40 26
47 41 24
47 42 21
47 43 18
47 44 14
47 45 11
47 46 6
47 47 1
47 5 21
47 6 24
47 7 26
47 8 29
47 9 31
48 0 1
48 1 6
48 10 33
48 11 35
48 12 37
48 13 38
48 14 39
48 15 40
48 16 42
48 17 42
48 18 43
48 19 44
48 2 11
48 20 44
48 21 45
48 22 45
48 23 45
48 24 45
48 25 45
48 26 45
48 27 45
48 28 44
48 29 44
48 3 15
48 30 43
48 31 42
48 32 42
48 33 40
48 34 39
48 35 38
48 36 37
48 37 35
48 38 33
48 39 31
48 4 18
48 40 29
48 41 27
48 42 24
48 43 21
48 44 18
48 45 15
48 46 11
48 47 6
48 48 1
48 5 21
48 6 24
48 7 27
48 8 29
48 9 31
49 0 1
49 1 6
49 10 33
49 11 35
49 12 37
49 13 38
49 14 40
49 15 41
49 16 42
49 17 43
49 18 44
49 19 45
49 2 11
49 20 45
49 21 46
49 22 46
49 23 46
49 24 46
49 25 46
49 26 46
49 27 46
49 28 46
49 29 45
49 3 15
49 30 45
49 31 44
49 32 43
49 33 42
49 34 41
49 35 40
49 36 38
49 37 37
49 38 35
49 39 33
49 4 18
49 40 31
49 41 29
49 42 27
49 43 24
49 44 21
49 45 18
49 46 15
49 47 11
49 48 6
49 49 1
49 5 21
49 6 24
49 7 27
49 8 29
49 9 31
5 0 1
5 1 3
5 2 4
5 3 4
5 4 3
5 5 1
50 0 1
50 1 6
50 10 34
50 11 36
50 12 37
50 13 39
50 14 40
50 15 42
50 16 43
50 17 44
50 18 45
50 19 45
50 2 11
50 20 46
50 21 46
50 22 47
50 23 47
50 24 47
50 25 47
50 26 47
50 27 47
50 28 47
50 29 46
50 3 15
50 30 46
50 31 45
50 32 45
50 33 44
50 34 43
50 35 42
50 36 40
50 37 39
50 38 37
50 39 36
50 4 is equal to 230300
50 40 34
50 41 32
50 42 30
50 43 27
50 44 24
50 45 22
50 46 18
50 47 15
50 48 11
50 49 6
50 5 22
50 50 1
50 6 24
50 7 27
50 8 30
50 9 32
6 0 1
6 1 3
6 2 4
6 3 5
6 4 4
6 5 3
6 6 1
7 0 1
7 1 3
7 2 5
7 3 6
7 4 6
7 5 5
7 6 3
7 7 1
8 0 1
8 1 4
8 2 5
8 3 6
8 4 7
8 5 6
8 6 5
8 7 4
8 8 1
9 0 1
9 1 4
9 2 6
9 3 7
9 4 7
9 5 7
9 6 7
9 7 6
9 8 4
9 9 1
