n k length
28 12 0
28 13 0
28 14 0
28 15 0
28 16 0
28 17 0
28 18 0
28 19 0
28 20 0
28 21 0
28 22 0
28 23 0
28 24 0
28 25 0
28 26 0
28 27 0
28 28 0
29 0 1
29 1 0
29 2 0
29 3 0
29 4 0
29 5 0
29 6 0
29 7 0
29 8 0
29 9 0
29 10 0
29 11 0
29 12 0
29 13 0
29 14 0
29 15 0
29 16 0
29 17 0
29 18 0
29 19 0
29 20 0
29 21 0
29 22 0
29 23 0
29 24 0
29 25 0
29 26 0
29 27 0
29 28 0
29 29 0
30 0 1
30 1 0
30 2 0
30 3 0
30 4 0
30 5 0
30 6 0
30 7 0
30 8 0
30 9 0
30 10 0
30 11 0
30 12 0
30 13 0
30 14 0
30 15 0
30 16 0
30 17 0
30 18 0
30 19 0
30 20 0
30 21 0
30 22 0
30 23 0
30 24 0
30 25 0
30 26 0
30 27 0
30 28 0
30 29 0
30 30 0
31 0 1
31 1 0
31 2 0
31 3 0
31 4 0
31 5 0
31 6 0
31 7 0
31 8 0
31 9 0
31 10 0
31 11 0
31 12 0
31 13 0
31 14 0
31 15 0
31 16 0
31 17 0
31 18 0
31 19 0
31 20 0
31 21 0
31 22 0
31 23 0
31 24 0
31 25 0
31 26 0
31 27 0
31 28 0
31 29 0
31 30 0
31 31 0
32 0 1
32 1 0
32 2 0
32 3 0
32 4 0
32 5 0
32 6 0
32 7 0
32 8 0
32 9 0
32 10 0
32 11 0
32 12 0
32 13 0
32 14 0
32 15 0
32 16 0
32 17 0
32 18 0
32 19 0
32 20 0
32 21 0
32 22 0
32 23 0
32 24 0
32 25 0
32 26 0
32 27 0
32 28 0
32 29 0
32 30 0
32 31 0
32 32 0
33 0 1
33 1 0
33 2 0
33 3 0
33 4 0
33 5 0
33 6 0
33 7 0
33 8 0
33 9 0
33 10 0
33 11 0
33 12 0
33 13 0
33 14 0
33 15 0
33 16 0
33 17 0
33 18 0
33 19 0
33 20 0
33 21 0
33 22 0
33 23 0
33 24 0
33 25 0
33 26 0
33 27 0
33 28 0
33 29 0
33 30 0
33 31 0
33 32 0
33 33 0
34 0 1
34 1 0
34 2 0
34 3 0
34 4 0
34 5 0
34 6 0
34 7 0
34 8 0
34 9 0
34 10 0
34 11 0
34 12 0
34 13 0
34 14 0
34 15 0
34 16 0
34 17 0
34 18 0
34 19 0
34 20 0
34 21 0
34 22 0
34 23 0
34 24 0
34 25 0
34 26 0
34 27 0
34 28 0
34 29 0
34 30 0
34 31 0
34 32 0
34 33 0
34 34 0
35 0 1
35 1 0
35 2 0
35 3 0
35 4 0
35 5 0
35 6 0
35 7 0
35 8 0
35 9 0
35 10 0
35 11 0
35 12 0
35 13 0
35 14 0
35 15 0
35 16 0
35 17 0
35 18 0
35 19 0
35 20 0
35 21 0
35 22 0
35 23 0
35 24 0
35 25 0
35 26 0
35 27 0
35 28 0
35 29 0
35 30 0
35 31 0
35 32 0
35 33 0
35 34 0
35 35 0
36 0 1
36 1 0
36 2 0
36 3 0
36 4 0
36 5 0
36 6 0
36 7 0
36 8 0
36 9 0
36 10 0
36 11 0
36 12 0
36 13 0
36 14 0
36 15 0
36 16 0
36 17 0
36 18 0
36 19 0
36 20 0
36 21 0
36 22 0
36 23 0
36 24 0
36 25 0
36 26 0
36 27 0
36 28 0
36 29 0
36 30 0
36 31 0
36 32 0
36 33 0
36 34 0
36 35 0
36 36 0
37 0 1
37 1 0
37 2 0
37 3 0
37 4 0
37 5 0
37 6 0
37 7 0
37 8 0
37 9 0
37 10 0
37 11 0
37 12 0
37 13 0
37 14 0
37 15 0
37 16 0
37 17 0
37 18 0
37 19 0
37 20 0
37 21 0
37 22 0
37 23 0
37 24 0
37 25 0
37 26 0
37 27 0
37 28 0
37 29 0
37 30 0
37 31 0
37 32 0
37 33 0
37 34 0
37 35 0
37 36 0
37 37 0
38 0 1
38 1 0
38 2 0
38 3 0
38 4 0
38 5 0
38 6 0
38 7 0
38 8 0
38 9 0
38 10 0
38 11 0
38 12 0
38 13 0
38 14 0
38 15 0
38 16 0
38 17 0
38 18 0
38 19 0
38 20 0
38 21 0
38 22 0
38 23 0
38 24 0
38 25 0
38 26 0
38 27 0
38 28 0
38 29 0
38 30 0
38 31 0
38 32 0
38 33 0
38 34 0
38 35 0
38 36 0
38 37 0
38 38 0
39 0 1
39 1 0
39 2 0
39 3 0
39 4 0
39 5 0
39 6 0
39 7 0
39 8 0
39 9 0
39 10 0
39 11 0
39 12 0
39 13 0
39 14 0
39 15 0
39 16 0
39 17 0
39 18 0
39 19 0
39 20 0
39 21 0
39 22 0
39 23 0
39 24 0
39 25 0
39 26 0
39 27 0
39 28 0
39 29 0
39 30 0
39 31 0
39 32 0
39 33 0
39 34 0
39 35 0
39 36 0
39 37 0
39 38 0
39 39 0
40 0 1
40 1 0
40 2 0
40 3 0
40 4 0
40 5 0
40 6 0
40 7 0
40 8 0
40 9 0
40 10 0
40 11 0
40 12 0
40 13 0
40 14 0
40 15 0
40 16 0
40 17 0
40 18 0
40 19 0
40 20 0
40 21 0
40 22 0
40 23 0
40 24 0
40 25 0
40 26 0
40 27 0
40 28 0
40 29 0
40 30 0
40 31 0
40 32 0
40 33 0
40 34 0
40 35 0
40 36 0
40 37 0
40 38 0
40 39 0
40 40 0
41 0 1
41 1 0
41 2 0
41 3 0
41 4 0
41 5 0
41 6 0
41 7 0
41 8 0
41 9 0
41 10 0
41 11 0
41 12 0
41 13 0
41 14 0
41 15 0
41 16 0
41 17 0
41 18 0
41 19 0
41 20 0
41 21 0
41 22 0
41 23 0
41 24 0
41 25 0
41 26 0
41 27 0
41 28 0
41 29 0
41 30 0
41 31 0
41 32 0
41 33 0
41 34 0
41 35 0
41 36 0
41 37 0
41 38 0
41 39 0
41 40 0
41 41 0
42 0 1
42 1 0
42 2 0
42 3 0
42 4 0
42 5 0
42 6 0
42 7 0
42 8 0
42 9 0
42 10 0
42 11 0
42 12 0
42 13 0
42 14 0
42 15 0
42 16 0
42 17 0
42 18 0
42 19 0
42 20 0
42 21 0
42 22 0
42 23 0
42 24 0
42 25 0
42 26 0
42 27 0
42 28 0
42 29 0
42 30 0
42 31 0
42 32 0
42 33 0
42 34 0
42 35 0
42 36 0
42 37 0
42 38 0
42 39 0
42 40 0
42 41 0
42 42 0
43 0 1
43 1 0
43 2 0
43 3 0
43 4 0
43 5 0
43 6 0
43 7 0
43 8 0
43 9 0
43 10 0
43 11 0
43 12 0
43 13 0
43 14 0
43 15 0
43 16 0
43 17 0
43 18 0
43 19 0
43 20 0
43 21 0
43 22 0
43 23 0
43 24 0
43 25 0
43 26 0
43 27 0
43 28 0
43 29 0
43 30 0
43 31 0
43 32 0
43 33 0
43 34 0
43 35 0
43 36 0
43 37 0
43 38 0
43 39 0
43 40 0
43 41 0
43 42 0
43 43 0
44 0 1
44 1 0
44 2 0
44 3 0
44 4 0
44 5 0
44 6 0
44 7 0
44 8 0
44 9 0
44 10 0
44 11 0
44 12 0
44 13 0
44 14 0
44 15 0
44 16 0
44 17 0
44 18 0
44 19 0
44 20 0
44 21 0
44 22 0
44 23 0
44 24 0
44 25 0
44 26 0
44 27 0
44 28 0
44 29 0
44 30 0
44 31 0
44 32 0
44 33 0
44 34 0
44 35 0
44 36 0
44 37 0
44 38 0
44 39 0
44 40 0
44 41 0
44 42 0
44 43 0
44 44 0
45 0 1
45 1 0
45 2 0
45 3 0
45 4 0
45 5 0
45 6 0
45 7 0
45 8 0
45 9 0
45 10 0
45 11 0
45 12 0
45 13 0
45 14 0
45 15 0
45 16 0
45 17 0
45 18 0
45 19 0
45 20 0
45 21 0
45 22 0
45 23 0
45 24 0
45 25 0
45 26 0
45 27 0
45 28 0
45 29 0
45 30 0
45 31 0
45 32 0
45 33 0
45 34 0
45 35 0
45 36 0
45 37 0
45 38 0
45 39 0
45 40 0
45 41 0
45 42 0
45 43 0
45 44 0
45 45 0
46 0 1
46 1 0
46 2 0
46 3 0
46 4 0
46 5 0
46 6 0
46 7 0
46 8 0
46 9 0
46 10 0
46 11 0
46 12 0
46 13 0
46 14 0
46 15 0
46 16 0
46 17 0
46 18 0
46 19 0
46 20 0
46 21 0
46 22 0
46 23 0
46 24 0
46 25 0
46 26 0
46 27 0
46 28 0
46 29 0
46 30 0
46 31 0
46 32 0
46 33 0
46 34 0
46 35 0
46 36 0
46 37 0
46 38 0
46 39 0
46 40 0
46 41 0
46 42 0
46 43 0
46 44 0
46 45 0
46 46 0
47 0 1
47 1 0
47 2 0
47 3 0
47 4 0
47 5 0
47 6 0
47 7 0
47 8 0
47 9 0
47 10 0
47 11 0
47 12 0
47 13 0
47 14 0
47 15 0
47 16 0
47 17 0
47 18 0
47 19 0
47 20 0
47 21 0
47 22 0
47 23 0
47 24 0
47 25 0
47 26 0
47 27 0
47 28 0
47 29 0
47 30 0
47 31 0
47 32 0
47 33 0
47 34 0
47 35 0
47 36 0
47 37 0
47 38 0
47 39 0
47 40 0
47 41 0
47 42 0
47 43 0
47 44 0
47 45 0
47 46 0
47 47 0
48 0 1
48 1 0
48 2 0
48 3 0
48 4 0
48 5 0
48 6 0
48 7 0
48 8 0
48 9 0
48 10 0
48 11 0
48 12 0
48 13 0
48 14 0
48 15 0
48 16 0
48 17 0
48 18 0
48 19 0
48 20 0
48 21 0
48 22 0
48 23 0
48 24 0
48 25 0
48 26 0
48 27 0
48 28 0
48 29 0
48 30 0
48 31 0
48 32 0
48 33 0
48 34 0
48 35 0
48 36 0
48 37 0
48 38 0
48 39 0
48 40 0
48 41 0
48 42 0
48 43 0
48 44 0
48 45 0
48 46 0
48 47 0
48 48 0
49 0 1
49 1 0
49 2 0
49 3 0
49 4 0
49 5 0
49 6 0
49 7 0
49 8 0
49 9 0
49 10 0
49 11 0
49 12 0
49 13 0
49 14 0
49 15 0
49 16 0
49 17 0
49 18 0
49 19 0
49 20 0
49 21 0
49 22 0
49 23 0
49 24 0
49 25 0
49 26 0
49 27 0
49 28 0
49 29 0
49 30 0
49 31 0
49 32 0
49 33 0
49 34 0
49 35 0
49 36 0
49 37 0
49 38 0
49 39 0
49 40 0
49 41 0
49 42 0
49 43 0
49 44 0
49 45 0
49 46 0
49 47 0
49 48 0
49 49 0
50 0 1
50 1 0
50 2 0
50 3 0
50 4 0
50 5 0
50 6 0
50 7 0
50 8 0
50 9 0
50 10 0
50 11 0
50 12 0
50 13 0
50 14 0
50 15 0
50 16 0
50 17 0
50 18 0
50 19 0
50 20 0
50 21 0
50 22 0
50 23 0
50 24 0
50 25 0
50 26 0
50 27 0
50 28 0
50 29 0
50 30 0
50 31 0
50 32 0
50 33 0
50 34 0
50 35 0
50 36 0
50 37 0
50 38 0
50 39 0
50 40 0
50 41 0
50 42 0
50 43 0
50 44 0
50 45 0
50 46 0
50 47 0
50 48 0
50 49 0
50 50 0
51 0 1
51 1 0
51 2 0
51 3 0
51 4 0
51 5 0
51 6 0
51 7 0
51 8 0
51 9 0
51 10 0
51 11 0
51 12 0
51 13 0
51 14 0
51 15 0
51 16 0
51 17 0
51 18 0
51 19 0
51 20 0
51 21 0
51 22 0
51 23 0
51 24 0
51 25 0
51 26 0
51 27 0
51 28 0
51 29 0
51 30 0
51 31 0
51 32 0
51 33 0
51 34 0
51 35 0
51 36 0
51 37 0
51 38 0
51 39 0
51 40 0
51 41 0
51 42 0
51 43 0
51 44 0
51 45 0
51 46 0
51 47 0
51 48 0
51 49 0
51 50 0
51 51 0
52 0 1
52 1 0
52 2 0
52 3 0
52 4 0
52 5 0
52 6 0
52 7 0
52 8 0
52 9 0
52 10 0
52 11 0
52 12 0
52 13 0
52 14 0
52 15 0
52 16 0
52 17 0
52 18 0
52 19 0
52 20 0
52 21 0
52 22 0
52 23 0
52 24 0
52 25 0
52 26 0
52 27 0
52 28 0
52 29 0
52 30 0
52 31 0
52 32 0
52 33 0
52 34 0
52 35 0
52 36 0
52 37 0
52 38 0
52 39 0
52 40 0
52 41 0
52 42 0
52 43 0
52 44 0
52 45 0
52 46 0
52 47 0
52 48 0
52 49 0
52 50 0
52 51 0
52 52 0
53 0 1
53 1 0
53 2 0
53 3 0
53 4 0
53 5 0
53 6 0
53 7 0
53 8 0
53 9 0
53 10 0
53 11 0
53 12 0
53 13 0
53 14 0
53 15 0
53 16 0
53 17 0
53 18 0
53 19 0
53 20 0
53 21 0
53 22 0
53 23 0
53 24 0
53 25 0
53 26 0
53 27 0
53 28 0
53 29 0
53 30 0
53 31 0
53 32 0
53 33 0
53 34 0
53 35 0
53 36 0
53 37 0
53 38 0
53 39 0
53 40 0
53 41 0
53 42 0
53 43 0
53 44 0
53 45 0
53 46 0
53 47 0
53 48 0
53 49 0
53 50 0
53 51 0
53 52 0
53 53 0
54 0 1
54 1 0
54 2 0
54 3 0
54 4 0
54 5 0
54 6 0
54 7 0
54 8 0
54 9 0
54 10 0
54 11 0
54 12 0
54 13 0
54 14 0
54 15 0
54 16 0
54 17 0
54 18 0
54 19 0
54 20 0
54 21 0
54 22 0
54 23 0
54 24 0
54 25 0
54 26 0
54 27 0
54 28 0
54 29 0
54 30 0
54 31 0
54 32 0
54 33 0
54 34 0
54 35 0
54 36 0
54 37 0
54 38 0
54 39 0
54 40 0
54 41 0
54 42 0
54 43 0
54 44 0
54 45 0
54 46 0
54 47 0
54 48 0
54 49 0
54 50 0
54 51 0
54 52 0
54 53 0
54 54 0
55 0 1
55 1 0
55 2 0
55 3 0
55 4 0
55 5 0
55 6 0
55 7 0
55 8 0
55 9 0
55 10 0
55 11 0
55 12 0
55 13 0
55 14 0
55 15 0
55 16 0
55 17 0
55 18 0
55 19 0
55 20 0
55 21 0
55 22 0
55 23 0
55 24 0
55 25 0
55 26 0
55 27 0
55 28 0
55 29 0
55 30 0
55 31 0
55 32 0
55 33 0
55 34 0
55 35 0
55 36 0
55 37 0
55 38 0
55 39 0
55 40 0
55 41 0
55 42 0
55 43 0
55 44 0
55 45 0
55 46 0
55 47 0
55 48 0
55 49 0
55 50 0
55 51 0
55 52 0
55 53 0
55 54 0
55 55 0
56 0 1
56 1 0
56 2 0
56 3 0
56 4 0
56 5 0
56 6 0
56 7 0
56 8 0
56 9 0
56 10 0
56 11 0
56 12 0
56 13 0
56 14 0
56 15 0
56 16 0
56 17 0
56 18 0
56 19 0
56 20 0
56 21 0
56 22 0
56 23 0
56 24 0
56 25 0
56 26 0
56 27 0
56 28 0
56 29 0
56 30 0
56 31 0
56 32 0
56 33 0
56 34 0
56 35 0
56 36 0
56 37 0
56 38 0
56 39 0
56 40 0
56 41 0
56 42 0
56 43 0
56 44 0
56 45 0
56 46 0
56 47 0
56 48 0
56 49 0
56 50 0
56 51 0
56 52 0
56 53 0
56 54 0
56 55 0
56 56 0
57 0 1
57 1 0
57 2 0
57 3 0
57 4 0
57 5 0
57 6 0
57 7 0
57 8 0
57 9 0
57 10 0
57 11 0
57 12 0
57 13 0
57 14 0
57 15 0
57 16 0
57 17 0
57 18 0
57 19 0
57 20 0
57 21 0
57 22 0
57 23 0
57 24 0
57 25 0
57 26 0
57 27 0
57 28 0
57 29 0
57 30 0
57 31 0
57 32 0
57 33 0
57 34 0
57 35 0
57 36 0
57 37 0
57 38 0
57 39 0
57 40 0
57 41 0
57 42 0
57 43 0
57 44 0
57 45 0
57 46 0
57 47 0
57 48 0
57 49 0
57 50 0
57 51 0
57 52 0
57 53 0
57 54 0
57 55 0
57 56 0
57 57 0
58 0 1
58 1 0
58 2 0
58 3 0
58 4 0
58 5 0
58 6 0
58 7 0
58 8 0
58 9 0
58 10 0
58 11 0
58 12 0
58 13 0
58 14 0
58 15 0
58 16 0
58 17 0
58 18 0
58 19 0
58 20 0
58 21 0
58 22 0
58 23 0
58 24 0
58 25 0
58 26 0
58 27 0
58 28 0
58 29 0
58 30 0
58 31 0
58 32 0
58 33 0
58 34 0
58 35 0
58 36 0
58 37 0
58 38 0
58 39 0
58 40 0
58 41 0
58 42 0
58 43 0
58 44 0
58 45 0
58 46 0
58 47 0
58 48 0
58 49 0
58 50 0
58 51 0
58 52 0
58 53 0
58 54 0
58 55 0
58 56 0
58 57 0
58 58 0
59 0 1
59 1 0
59 2 0
59 3 0
59 4 0
59 5 0
59 6 0
59 7 0
59 8 0
59 9 0
59 10 0
59 11 0
59 12 0
59 13 0
59 14 0
59 15 0
59 16 0
59 17 0
59 18 0
59 19 0
59 20 0
59 21 0
59 22 0
59 23 0
59 24 0
59 25 0
59 26 0
59 27 0
59 28 0
59 29 0
59 30 0
59 31 0
59 32 0
59 33 0
59 34 0
59 35 0
59 36 0
59 37 0
59 38 0
59 39 0
59 40 0
59 41 0
59 42 0
59 43 0
59 44 0
59 45 0
59 46 0
59 47 0
59 48 0
59 49 0
59 50 0
59 51 0
59 52 0
59 53 0
59 54 0
59 55 0
59 56 0
59 57 0
59 58 0
59 59 0
60 0 1
60 1 0
60 2 0
60 3 0
60 4 0
60 5 0
60 6 0
60 7 0
60 8 0
60 9 0
60 10 0
60 11 0
60 12 0
60 13 0
60 14 0
60 15 0
60 16 0
60 17 0
60 18 0
60 19 0
60 20 0
60 21 0
60 22 0
60 23 0
60 24 0
60 25 0
60 26 0
60 27 0
60 28 0
60 29 0
60 30 0
60 31 0
60 32 0
60 33 0
60 34 0
60 35 0
60 36 0
60 37 0
60 38 0
60 39 0
60 40 0
60 41 0
60 42 0
60 43 0
60 44 0
60 45 0
60 46 0
60 47 0
60 48 0
60 49 0
60 50 0
60 51 0
60 52 0
60 53 0
60 54 0
60 55 0
60 56 0
60 57 0
60 58 0
60 59 0
60 60 0
61 0 1
61 1 0
61 2 0
61 3 0
61 4 0
61 5 0
61 6 0
61 7 0
61 8 0
61 9 0
61 10 0
61 11 0
61 12 0
61 13 0
61 14 0
61 15 0
61 16 0
61 17 0
61 18 0
61 19 0
61 20 0
61 21 0
61 22 0
61 23 0
61 24 0
61 25 0
61 26 0
61 27 0
61 28 0
61 29 0
61 30 0
61 31 0
61 32 0
61 33 0
61 34 0
61 35 0
61 36 0
61 37 0
61 38 0
61 39 0
61 40 0
61 41 0
61 42 0
61 43 0
61 44 0
61 45 0
61 46 0
61 47 0
61 48 0
61 49 0
61 50 0
61 51 0
61 52 0
61 53 0
61 54 0
61 55 0
61 56 0
61 57 0
61 58 0
61 59 0
61 60 0
61 61 0
62 0 1
62 1 0
62 2 0
62 3 0
62 4 0
62 5 0
62 6 0
62 7 0
62 8 0
62 9 0
62 10 0
62 11 0
62 12 0
62 13 0
62 14 0
62 15 0
62 16 0
62 17 0
62 18 0
62 19 0
62 20 0
62 21 0
62 22 0
62 23 0
62 24 0
62 25 0
62 26 0
62 27 0
62 28 0
62 29 0
62 30 0
62 31 0
62 32 0
62 33 0
62 34 0
62 35 0
62 36 0
62 37 0
62 38 0
62 39 0
62 40 0
62 41 0
62 42 0
62 43 0
62 44 0
62 45 0
62 46 0
62 47 0
62 48 0
62 49 0
62 50 0
62 51 0
62 52 0
62 53 0
62 54 0
62 55 0
62 56 0
62 57 0
62 58 0
62 59 0
62 60 0
62 61 0
62 62 0
63 0 1
63 1 0
63 2 0
63 3 0
63 4 0
63 5 0
63 6 0
63 7 0
63 8 0
63 9 0
63 10 0
63 11 0
63 12 0
63 13 0
63 14 0
63 15 0
63 16 0
63 17 0
63 18 0
63 19 0
63 20 0
63 21 0
63 22 0
63 23 0
63 24 0
63 25 0
63 26 0
63 27 0
63 28 0
63 29 0
63 30 0
63 31 0
63 32 0
63 33 0
63 34 0
63 35 0
63 36 0
63 37 0
63 38 0
63 39 0
63 40 0
63 41 0
63 42 0
63 43 0
63 44 0
63 45 0
63 46 0
63 47 0
63 48 0
63 49 0
63 50 0
63 51 0
63 52 0
63 53 0
63 54 0
63 55 0
63 56 0
63 57 0
63 58 0
63 59 0
63 60 0
63 61 0
63 62 0
63 63 0
64 0 1
64 1 0
64 2 0
64 3 0
64 4 0
64 5 0
64 6 0
64 7 0
64 8 0
64 9 0
64 10 0
64 11 0
64 12 0
64 13 0
64 14 0
64 15 0
64 16 0
64 17 0
64 18 0
64 19 0
64 20 0
64 21 0
64 22 0
64 23 0
64 24 0
64 25 0
64 26 0
64 27 0
64 28 0
64 29 0
64 30 0
64 31 0
64 32 0
64 33 0
64 34 0
64 35 0
64 36 0
64 37 0
64 38 0
64 39 0
64 40 0
64 41 0
64 42 0
64 43 0
64 44 0
64 45 0
64 46 0
64 47 0
64 48 0
64 49 0
64 50 0
64 51 0
64 52 0
64 53 0
64 54 0
64 55 0
64 56 0
64 57 0
64 58 0
64 59 0
64 60 0
64 61 0
64 62 0
64 63 0
64 64 0
65 0 1
65 1 0
65 2 0
65 3 0
65 4 0
65 5 0
65 6 0
65 7 0
65 8 0
65 9 0
65 10 0
65 11 0
65 12 0
65 13 0
65 14 0
65 15 0
65 16 0
65 17 0
65 18 0
65 19 0
65 20 0
65 21 0
65 22 0
65 23 0
65 24 0
65 25 0
65 26 0
65 27 0
65 28 0
65 29 0
65 30 0
65 31 0
65 32 0
65 33 0
65 34 0
65 35 0
65 36 0
65 37 0
65 38 0
65 39 0
65 40 0
65 41 0
65 42 0
65 43 0
65 44 0
65 45 0
65 46 0
65 47 0
65 48 0
65 49 0
65 50 0
65 51 0
65 52 0
65 53 0
65 54 0
65 55 0
65 56 0
65 57 0
65 58 0
65 59 0
65 60 0
65 61 0
65 62 0
65 63 0
65 64 0
65 65 0
66 0 1
66 1 0
66 2 0
66 3 0
66 4 0
66 5 0
66 6 0
66 7 0
66 8 0
66 9 0
66 10 0
66 11 0
66 12 0
66 13 0
66 14 0
66 15 0
66 16 0
66 17 0
66 18 0
66 19 0
66 20 0
66 21 0
66 22 0
66 23 0
66 24 0
66 25 0
66 26 0
66 27 0
66 28 0
66 29 0
66 30 0
66 31 0
66 32 0
66 33 0
66 34 0
66 35 0
66 36 0
66 37 0
66 38 0
66 39 0
66 40 0
66 41 0
66 42 0
66 43 0
66 44 0
66 45 0
66 46 0
66 47 0
66 48 0
66 49 0
66 50 0
66 51 0
66 52 0
66 53 0
66 54 0
66 55 0
66 56 0
66 57 0
66 58 0
66 59 0
66 60 0
66 61 0
66 62 0
66 63 0
66 64 0
66 65 0
66 66 0
67 0 1
67 1 0
67 2 0
67 3 0
67 4 0
67 5 0
67 6 0
67 7 0
67 8 0
67 9 0
67 10 0
67 11 0
67 12 0
67 13 0
67 14 0
67 15 0
67 16 0
67 17 0
67 18 0
67 19 0
67 20 0
67 21 0
67 22 0
67 23 0
67 24 0
67 25 0
67 26 0
67 27 0
67 28 0
67 29 0
67 30 0
67 31 0
67 32 0
67 33 0
67 34 0
67 35 0
67 36 0
67 37 0
67 38 0
67 39 0
67 40 0
67 41 0
67 42 0
67 43 0
67 44 0
67 45 0
67 46 0
67 47 0
67 48 0
67 49 0
67 50 0
67 51 0
67 52 0
67 53 0
